Period,Location,Gender,Age-group,Occupation,Income Level,"Personal Hygiene (eg Soap, toothpaste)",Cleaning products,Long lasting (dry) groceries,"Fresh groceries (Fruits, vegetables)",Medicines/Natural remedies,Alcohol beverages,Skin care (eg. Body lotion),Hair care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Electronics (eg Phone, Computers)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime/Data bundles
2024-12-20,MS1,Male,Gen Z,Salaried employee,High Income,Less,Same,More,Don't know/Don't buy,Same,Same,More,More,More,Same,Same,Same,Don't know/Don't buy
2024-12-20,MS1,Female,Gen X,Salaried employee,Middle Income,Less,Same,More,Don't know/Don't buy,Same,Same,More,Don't know/Don't buy,More,Same,Less,Same,More
2024-12-20,MS1,Male,Millennials,Salaried employee,Middle Income,Less,Same,More,Don't know/Don't buy,Same,Same,More,More,More,Same,More,Same,More
2024-12-20,MS1,Female,Gen Z,Salaried employee,Middle Income,Less,Same,More,More,Don't know/Don't buy,Don't know/Don't buy,More,Don't know/Don't buy,Don't know/Don't buy,More,Don't know/Don't buy,More,More
2024-12-20,MS1,Female,Millennials,Salaried employee,Middle Income,Less,Same,More,Don't know/Don't buy,Same,Same,More,Don't know/Don't buy,More,Same,Less,Same,More
2024-12-20,MS1,Male,Gen Z,Salaried employee,Middle Income,Less,Same,More,Don't know/Don't buy,Same,Same,More,Don't know/Don't buy,More,Same,Less,Same,More
2024-12-20,MS1,Female,Gen Z,Salaried employee,Low Income,Less,Same,More,Don't know/Don't buy,Same,Same,More,Don't know/Don't buy,More,Same,Less,Same,More
2024-12-20,MS1,Male,Millennials,Salaried employee,Middle Income,Less,Same,More,Don't know/Don't buy,More,More,More,More,More,More,More,More,More
2024-12-20,MS1,Male,Gen Z,Salaried employee,Low Income,Don't know/Don't buy,More,Same,Less,More,Don't know/Don't buy,Same,Same,More,More,Same,Less,Same
2024-12-20,MS1,Female,Gen Z,Salaried employee,Low Income,Less,Same,More,Don't know/Don't buy,Same,Same,More,Don't know/Don't buy,More,Same,Less,Same,More
2024-12-20,MS1,Male,Millennials,Salaried employee,Middle Income,Less,Same,More,Don't know/Don't buy,Same,Same,More,Don't know/Don't buy,More,Same,Less,Same,More
2024-12-20,MS1,Male,Millennials,Salaried employee,Middle Income,More,More,Don't know/Don't buy,More,More,Don't know/Don't buy,More,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy,Don't know/Don't buy
2024-12-20,MS1,Female,Gen Z,Salaried employee,Middle Income,Less,Same,More,Don't know/Don't buy,Same,Same,More,Don't know/Don't buy,More,Same,More,Don't know/Don't buy,Don't know/Don't buy
2024-12-20,MS1,Male,Gen Z,Student,Low Income,Don't know/Don't buy,More,Same,More,More,Less,Same,More,Don't know/Don't buy,More,Same,Less,More
2024-12-20,MS1,Female,Gen X,Business owner,Middle Income,Less,Same,More,More,More,Don't know/Don't buy,More,Same,More,More,More,Don't know/Don't buy,Don't know/Don't buy
2024-12-20,MS1,Female,Gen Z,Student,Low Income,Less,Same,More,Don't know/Don't buy,Same,Same,More,Don't know/Don't buy,More,Same,Less,Same,More
2024-12-20,MS1,Male,Gen X,Business owner,High Income,More,More,More,More,More,More,More,More,More,More,More,More,More
2024-12-20,MS1,Female,Gen X,Business owner,Middle Income,Less,Same,More,More,More,Same,Same,More,More,More,More,More,Don't know/Don't buy
